Name,Logo URL,Industries,Full Description,Description,Top 5 Investors,Last Funding Type,Last Funding Amount,Total Funding Equity,Number of Employees,Headquarters Location,Competitors,Founded Date
Frontnow,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/egpafwakhp0gtdhqldmv","Artificial Intelligence (AI), B2B, Enterprise Software, Generative AI, Retail Technology, SaaS","Frontnow is redefining e-commerce with AI, providing businesses with powerful pre-sales tools to maximize core KPIs and provide an in-store-like shopping experience. Our vision is to transform online shopping into a dynamic, hyper-personalized, and inspirational experience through an adaptive interface. By revolutionizing the ecosystem, they empower businesses to thrive in the digital age and significantly impact the way customers shop online, leading to a more profitable and customer-centric retail world.",Enterprise-Grade AI Supercharging Customer Experience,"Peak, identity.vc, PROfounders Capital, Robin Haak, Ragnar Kruse",Seed,"€3,800,000","€6,500,000",11-50,"Berlin, Berlin, Germany",10,2020
Aveni,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/a7fb1dfda7c34ab5919e702fa076b17b","Advice, Credit, Debt Collections, FinTech, Generative AI, Life Insurance, Machine Learning, Mortgage, Speech Recognition, Wealth Management","Aveni is an award-winning FinTech company, dedicated to enhancing human expertise and efficiency through advanced AI technology. Specialising in Natural language Processing (NLP) and AI automation, Aveni provides tailored solutions that empower financial services businesses to achieve remarkable efficiency while maintaining the highest standards of service. Their flagship products, Aveni Detect and Aveni Assist, are purpose-built to streamline workflows, automate administrative tasks, and improve quality assurance processes, ultimately driving a productivity revolution in the industry.",Award-winning AI solutions to transform financial services productivity and compliance,"Scottish Enterprise, Old College Capital, Par Equity, Puma Private Equity, Harper Macleod",Series A,"£11,000,000","£15,495,000",51-100,"Edinburgh, Edinburgh, City of,",10,2018
sliQue,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/lsa7xumfeoh3wdckjn6c","Artificial Intelligence (AI), Computer Vision, Enterprise Applications, Enterprise Software, Internet of Things, Machine Learning, Robotics, Software","At sliQue, we are revolutionizing the future of business by creating intelligent, integrated systems that propel your company into tomorrow. Our groundbreaking platform, DataBarn, is the all-in-one app for modern companies designed to centralize and optimize every aspect of your operations. DataBarn seamlessly unites robotics, IoT devices, data analytics, automation, and enterprise software into a powerful platform. Imagine having every facet of your business connected and optimized — that's DataBarn's transformative impact. Join us in shaping the future of connected robotics. Empower your business to operate smarter, faster, and more efficiently than ever before. Experience the future with sliQue. Visit www.databarn.com today!","The ""Everything App"" Enterprise Software, Robots, & IoT. - ""Building connected systems for tomorrow. One byte at a time!""",StartEngine,Seed,—,—,11-50,"Las Vegas, Nevada, United States",7,"Aug 2, 2022"
Stage Meta,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/pnyx9dmiqkl7jfpkg7va","Augmented Reality, B2B, B2C, Blockchain, Information Technology, Internet, Virtual Reality","Stage Meta is a Pioneering and Exclusive Ecosystem in Spatial Computing, empowering businesses across industries like Hospitality, Real Estate, Retail, Automotive, and more to create Unique, Immersive Business Experiences.",Stage Meta is a Pioneering Ecosystem designed to establish a Business presence in Spatial Computing.,"Patricia Mora, Right Side Capital Management, Larry Bernstein",Seed,—,"$1,500,000",11-50,"Toronto, Ontario, Canada",10,"Nov 10, 2020"
BlueOcean,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/kc7lo3hlnjelp3x85uzd","Apps, Artificial Intelligence (AI), Brand Marketing, Information Technology, Machine Learning, SaaS, Software","BlueOcean is an always-on brand intelligence platform delivering data and insights that drive actions and outcomes. The platform aids companies in measuring brand awareness and tracking marketing indicators. BlueOcean allows businesses to assess their competitors' marketing efforts. It can assist a brand in gaining insight into several parts of a competitor's marketing approach, such as the selling points its advertising emphasize.",BlueOcean is an always-on brand intelligence platform delivering data and insights that drive actions and outcomes.,"Insight Partners, FJ Labs, Global Venture Capital",Series B,"$30,000,000","$50,000,000",51-100,"Oakland, California, United States",7,Jul 2019
Realiste.ai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ksmbaaqwtq7ek4e1wwqp","Artificial Intelligence (AI), B2B, E-Commerce, Finance, FinTech, Information Technology, Internet, Real Estate, Real Estate Investment, Software","Global Real Estate AI Agent with a Focus on Primary Residential Investments. Real estate investors can purchase full residential units worldwide, supported by data-driven insights, recommendations, and comprehensive services provided by the AI Agent Realiste","Building a Real Estate AI Agent for the residential property market across 1,200 cities worldwide.",Realiste's Angels Max,Seed,"$2,500,000","$3,000,000",11-50,"Dubai, Dubai, United Arab Emirates",21,"Apr 1, 2023"
Openmart,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/15351bc68a9d4196b40762f28f32d620","Artificial Intelligence (AI), B2B, Machine Learning, Retail",Openmart provides an AI-powered search engine designed to gather data from various sources to startups identify potential customers.,Openmart provides an AI-powered search engine designed to gather data from various sources to startups identify potential customers.,"Y Combinator, UpHonest Capital, Afore Capital, Uncorrelated Ventures, Gaingels",Seed,"$2,750,000","$3,250,000",11-50,"San Francisco, California, United States",8,Aug 2023
Reco,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/f6roob7acg0rf3vmt5cr","Artificial Intelligence (AI), Cyber Security, Generative AI, SaaS, Software","Reco is a leading identity-first SaaS security solution. It empowers organizations with full visibility into every app, identity, and their actions to seamlessly prioritize and control risks in the SaaS ecosystem. Their AI-based graph technology connects in minutes and provides immediate value to security teams to continuously discover all SaaS applications including sanctioned and unsanctioned apps, associated identities from both humans and machines, their permission level, and actions. Reco uses advanced analytics around persona, actions, interactions and relationships to other users, and then alerts on exposure from misconfigurations, over-permission users, compromised accounts, and risky user behavior. This comprehensive picture is generated continuously using the Reco Identities Interaction Graph and empowers security teams to take swift action to effectively prioritize their most critical points of risk. The company’s leadership team brings expertise and innovation from leading technology, cybersecurity and counterintelligence organizations. Reco is backed by top-tier investors including Insight Partners, Zeev Ventures, BoldStart Ventures, and Angular Ventures and has established partnerships with leading technology companies including Wiz, Palo Alto Networks, BlinkOps, Tines and Torq. You can learn more or book a demo at www.reco.ai.","Reco is an identity-first SaaS security solution that provides full visibility into every app, identity, and action to protect against risk.","Insight Partners, Plug and Play, Angular Ventures, boldstart ventures, Zeev Ventures",Series A,"$30,000,000","$34,200,000",51-100,"San Francisco, California, United States",6,2020
Middleware,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/v7vxn16sn7fnoq1kjvlu","Cloud Computing, Cloud Infrastructure, Cloud Management, DevOps, SaaS, Software","Middleware is the unified cloud-native observability and monitoring platform for DevOps, engineers, IT operations teams, and business users in the cloud age. Businesses of all sizes use our platform. We offer a complete view to our clients of their technology stack so you can monitor and diagnose issues.",Middleware creates a real-time cloud native observability platform to condense data into a uniform chronology to fix issues more rapidly.,"Y Combinator, 8VC, Fin Capital, Gokul Rajaram, Tokyo Black",Seed,"$6,500,000","$7,000,000",11-50,"San Francisco, California, United States",10,Sep 2022
Xilis,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ehxr5d0joyprvdxiodlg","Biotechnology, Health Care, Health Diagnostics, Life Science, Oncology, Pharmaceutical","Xilis is a biotechnology company that develops technologies to guide precision therapy for cancer patients and accelerate drug discovery. The company's platform enables diagnostics, drug screening, and scalable patient-derived models for drug discovery, enabling physicians and pharmaceutical companies to develop tailored treatments for patients by conducting drug screening.",Xilis is an oncology and precision health company that provides technologies to diagnoses cancer.,"Alexandria Venture Investments, Pear VC, Google Ventures, 8VC, Felicis",Series A,"$19,000,000","$92,000,000",51-100,"Durham, North Carolina, United States",10,2019
UptimeAI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/e1fda809e63941dda25218ed18d8d0b2","Artificial Intelligence (AI), Machine Learning, Software","UptimeAI combines Artificial Intelligence and industry expertise to predict, diagnose and provide prescriptive solutions for manufacturing operations. The company leverages its industry knowledge and AI capabilities to help manufacturing companies eliminate surprises and run their operations efficiently.",UptimeAI specializes in AI-based predictive maintenance software for heavy industries.,"Venture Catalysts, JioGenNext, Aditya Birla Ventures, YourNest Venture Capital, Westbridge Capital",Series A,"$13,999,999","$18,999,999",11-50,"San Francisco, California, United States",7,2019
